Metric,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Target
Landing Page Visitors,0,0,0,0,0,0,0,50+
WhatsApp Inquiries,0,0,0,0,0,0,0,15+
Email Sign-ups,0,0,0,0,0,0,0,20+
Booking Page Clicks,0,0,0,0,0,0,0,10+
Confirmed Bookings,0,0,0,0,0,0,0,3+
Salons Contacted,0,0,0,0,0,0,0,80+
Partner Sign-ups,0,0,0,0,0,0,0,10+
Partners Live,0,0,0,0,0,0,0,5+
Reel Reach,0,0,0,0,0,0,0,5K+ each
Follower Growth,0,0,0,0,0,0,0,500+
Meta Ad Spend (AED),0,0,0,0,0,0,0,500
Cost Per Lead (AED),0,0,0,0,0,0,0,<40
Testimonials Collected,0,0,0,0,0,0,0,3+
